Common_Name,Botanical_Name,Category,Plan_Symbol_File,Plan_Symbol_Type,Icon_Label,Plan_Symbol_Color
Rose 'Queen Elizabeth',"Rosa, Grandiflora 'Queen Elizabeth'",ROSES,107.svg,fringed-round-shrub,Fringed round shrub,#DC87BF
Rose 'Rio Samba',"Rosa, Hybrid Tea 'Rio Samba'",ROSES,5.svg,round-dense-canopy,Round dense canopy,#CC78AA
Rose 'Sheila's Perfume',"Rosa, Floribunda 'Sheila's Perfume'",ROSES,88.svg,textured-round-shrub,Textured round shrub,#D26D87
Rose 'Sterling Silver',"Rosa, Hybrid Tea 'Sterling Silver'",ROSES,51.svg,dense-ring-shrub,Dense ring shrub,#DB92BD
Strike it Rich&#174; Rose,"Rosa, Grandiflora 'Strike it Rich'",ROSES,67.svg,plain-round-shrub,Plain round shrub,#D282A7
Sugar Moon&#8482; Rose,"Rosa, Hybrid Tea 'Sugar Moon'",ROSES,21.svg,irregular-shrub-mass,Irregular shrub mass,#D980AF
Rose 'Sunsprite',,ROSES,21.svg,irregular-shrub-mass,Irregular shrub mass,#E0A2B6
Rose 'Sweet Mademoiselle',"Rosa, Hybrid Tea 'Sweet Mademoiselle'",ROSES,29.svg,flowering-shrub-mass,Flowering shrub mass,#D97098
Stainless Steel&#8482; Rose,"Rosa, Hybrid Tea 'Stainless Steel'",ROSES,60.svg,smooth-round-mound,Smooth round mound,#D679B9
Stiletto&#8482; Rose,"Rose, Hybrid Tea 'Stiletto'",ROSES,68.svg,serrated-round-shrub,Serrated round shrub,#DE90C8
Sunbelt&#174; South Africa&#174; Rose,"Rosa, Floribunda 'Sunbelt South Africa'",ROSES,68.svg,serrated-round-shrub,Serrated round shrub,#E093B5
Vavoom&#8482; Rose,,ROSES,24.svg,dense-textured-groundcover,Dense textured groundcover,#DF89A8
Abelia 'Kaleidoscope',Abelia x grandiflora 'Kaleidoscope',SHRUBS,109.svg,simple-dot-canopy,Simple dot canopy,#C68BC0
Acacia,Acacia cognata 'Cousin Itt',SHRUBS,60.svg,smooth-round-mound,Smooth round mound,#80AC7B
African Iris,Dietes iridioides,SHRUBS,71.svg,fern-palmate,Fern palmate,#9AA6C6
Lily of the Nile 'Peter Pan',Agapanthus x 'Peter Pan',SHRUBS,108.svg,sharp-radial-grass,Sharp radial grass,#769378
Agave 'Blue Flame',Agave 'Blue Flame',SHRUBS,80.svg,small-leaf-rosette,Small leaf rosette,#818DB7
Agave 'Blue Glow',Agave 'Blue Glow',SHRUBS,70.svg,wide-petal-rosette,Wide petal rosette,#A198D2
Agave 'Blue Glow' | Monrovia,Agave Assorted,SHRUBS,50.svg,bold-spiky-rosette,Bold spiky rosette,#8382C0
Arabian Jasmine,Jasminum sambac,SHRUBS,40.svg,airy-branching-flower,Airy branching flower,#729C68
Arabian Jasmine 'Summer Soul' | Monrovia,Jasminum sambac 'Summer Soul',SHRUBS,36.svg,vine-branching,Vine branching,#5E9C60
Foxtail Asparagus Fern,Asparagus densiflorus 'Meyeri',SHRUBS,77.svg,lobed-foliage-accent,Lobed foliage accent,#7CAB7C
Australian Tree Fern,Cyathea cooperi,SHRUBS,77.svg,lobed-foliage-accent,Lobed foliage accent,#71B074
Autumn Fern,Dryopteris erythrosora,SHRUBS,12.svg,airy-branching-plant,Airy branching plant,#699F72
Azalea 'Alaska',Azalea rutherfordiana 'Alaska',SHRUBS,84.svg,round-flower-cluster,Round flower cluster,#C97EAF
Azalea 'Cherry Drops',Azalea x 'Cherry Drops',SHRUBS,23.svg,curved-spreading-canopy,Curved spreading canopy,#64A866
Azalea 'Coral Bells',Azalea kurume 'Coral Bells',SHRUBS,102.svg,flowering-branch-cluster,Flowering branch cluster,#BF8CB0
Azalea 'Green Glow',Azalea 'Green Glow',SHRUBS,76.svg,dotted-flower-rosette,Dotted flower rosette,#C37A9E
Azalea 'Gumpo Pink',Azalea satsuki 'Gumpo Pink',SHRUBS,1.svg,flowering-accent,Flowering accent,#DD81AE
Azalea 'Gumpo White',Azalea satsuki 'Gumpo White',SHRUBS,1.svg,flowering-accent,Flowering accent,#B8BEAC
Azalea 'Happy Days',Azalea indica 'Happy Days',SHRUBS,101.svg,layered-flower-rosette,Layered flower rosette,#D1A3B8
Azalea 'Haru No Hibiki',Azalea 'Haru No Hibiki',SHRUBS,35.svg,small-flowering-mound,Small flowering mound,#D2A2CA
Azalea 'Hino Crimson',Azalea kurume 'Hino Crimson',SHRUBS,96.svg,flowering-rosette-cluster,Flowering rosette cluster,#C69ABF
Azalea 'Girard's Hot Shot',Azalea 'Girard's Hot Shot',SHRUBS,16.svg,large-flowering-plant,Large flowering plant,#CA82A6
Azalea 'Memoir John Hearrens',Azalea b.i. 'Memoir John Hearrens',SHRUBS,101.svg,layered-flower-rosette,Layered flower rosette,#CA96B4
Azalea 'Orange Delight',Azalea 'Orange Delight',SHRUBS,101.svg,layered-flower-rosette,Layered flower rosette,#F36D25
Azalea 'Phoenicia/Formosa',"Azalea s.i. 'Phoenicia', 'Formosa'",SHRUBS,63.svg,round-petal-flower,Round petal flower,#C185A9
Azalea 'Pink Lace',Azalea s.i. 'White Lace',SHRUBS,106.svg,spiral-groundcover-mass,Spiral groundcover mass,#D688A5
Azalea 'Pride of Dorking',Azalea s.i. 'Pride of Dorking',SHRUBS,9.svg,smooth-shrub-mass,Smooth shrub mass,#CB95B9
Azalea 'Red Bird',Azalea b.i. 'Red Bird',SHRUBS,35.svg,small-flowering-mound,Small flowering mound,#CD5B51
Azalea 'Sherwood Orchid',Azalea kurume 'Sherwood Orchid',SHRUBS,59.svg,lobed-flower,Lobed flower,#C185A2
Azalea 'Sherwood Pink',Azalea kurume 'Sherwood Pink',SHRUBS,95.svg,petal-ring-flower,Petal ring flower,#E18DC3
Azalea 'Ward's Ruby',Azalea kurume 'Ward's Ruby',SHRUBS,58.svg,simple-flower,Simple flower,#D4ABC8
Azalea 'White Lace',Azalea s.i. 'White Lace',SHRUBS,91.svg,loose-groundcover-mass,Loose groundcover mass,#BAC6AE
Bamboo 'Alphonse Karr',Bambusa multiplex 'Alphonse Karr',SHRUBS,83.svg,needle-leaf-clump,Needle leaf clump,#749B5F
Bamboo 'Golden Goddess',Bambusa multiplex 'Golden Goddess',SHRUBS,83.svg,needle-leaf-clump,Needle leaf clump,#DBC429
Barberry 'Admiration',Berberis thunbergii 'Admiration',SHRUBS,105.svg,soft-textured-round-shrub,Soft textured round shrub,#71A970
Barberry 'Crimson Pygmy',Berberis thunbergii 'Crimson Pygmy',SHRUBS,29.svg,flowering-shrub-mass,Flowering shrub mass,#7AA87D
Golden Ruby&#174; Barberry | Monrovia,Berberis thunbergii 'Goruzam',SHRUBS,30.svg,loose-vine-groundcover,Loose vine/groundcover,#E2C954
Barberry 'Orange Rocket',Berberis thunbergii 'Orange Rocket',SHRUBS,109.svg,simple-dot-canopy,Simple dot canopy,#EC9155
Barberry 'Rose Glow',Berberis thunbergii 'Rose Glow',SHRUBS,89.svg,dense-needle-conifer,Dense needle/conifer,#D37198
Beach Ball? Black Stem Pittosporum,Pittosporum tenuifolium 'Beach Ball',SHRUBS,96.svg,flowering-rosette-cluster,Flowering rosette cluster,#B87FAF
Bells of Fire&#8482; Tecoma,Tecoma stans 'Bells of Fire',SHRUBS,110.svg,dense-broken-shrub,Dense broken shrub,#5A8957
Big Leaf Philodendron,Philodendron selloum,SHRUBS,110.svg,dense-broken-shrub,Dense broken shrub,#688769
Bird of Paradise,Strelitzia reginae,SHRUBS,1.svg,flowering-accent,Flowering accent,#6D905A
Black Bamboo,Phyllostachys nigra,SHRUBS,86.svg,branching-vine-shrub,Branching vine/shrub,#759970
Black Stem Pittosporum,Pittosporum tenuifolium,SHRUBS,4.svg,jagged-textured-canopy,Jagged textured canopy,#B87F9F
Black Stem Pittosporum 'Elfin',Pittosporum tenuifolium 'Elfin',SHRUBS,49.svg,airy-flower-spike,Airy flower spike,#D298BC
Black Stem Pittosporum 'Golf Ball' | Monrovia,Pittosporum tenuifolium 'Golf Ball',SHRUBS,58.svg,simple-flower,Simple flower,#C596B3
Irish Fortune&#8482; Black Stem Pittosporum,Pittosporum tenuifolium 'Irish Fortune',SHRUBS,71.svg,fern-palmate,Fern palmate,#7F8AC3
Black Stem Pittosporum 'Marjorie Channon',Pittosporum tenuifolium 'Marjorie Channon',SHRUBS,4.svg,jagged-textured-canopy,Jagged textured canopy,#D59ABD
"Blackberry Assorted 4"" Sleeve",Dave Wilson Nursery&#174;,SHRUBS,98.svg,trailing-leaf-mass,Trailing leaf mass,#698363
Baby Cakes&#174; Blackberry | Monrovia,Rubus x 'Baby Cakes',SHRUBS,63.svg,round-petal-flower,Round petal flower,#77A366
Bloomerang&#174; Dark Purple Reblooming Lilac,Syringa x 'Bloomerang Dark Purple',SHRUBS,66.svg,speckled-groundcover-mat,Speckled groundcover mat,#8CA57E
Blue Enchantress&#174; Hydrangea | Monrovia,Hydrangea macrophylla 'Monmar',SHRUBS,84.svg,round-flower-cluster,Round flower cluster,#8E8FD2
"Blueberry Assorted 4"" Sleeve",Dave Wilson Nursery&#174;,SHRUBS,84.svg,round-flower-cluster,Round flower cluster,#7880C0
Bountiful Blue&#174; Blueberry | Monrovia,Vaccinium corymbosum 'Bountiful Blue',SHRUBS,63.svg,round-petal-flower,Round petal flower,#8B80C6
Blueberry 'Jubilee',Vaccinium corymbosum 'Jubilee',SHRUBS,8.svg,flowing-groundcover,Flowing groundcover,#7D80BB
Blueberry 'Misty',Vaccinium corymbosum 'Misty',SHRUBS,11.svg,broken-texture-shrub,Broken texture shrub,#959FCB
Blueberry 'O'Neal',Vaccinium corymbosum 'O'Neal',SHRUBS,30.svg,loose-vine-groundcover,Loose vine/groundcover,#8394C9
Blueberry 'Sharpblue',Vaccinium corymbosum 'Sharpblue',SHRUBS,30.svg,loose-vine-groundcover,Loose vine/groundcover,#7783B6
Blueberry 'Southmoon',Vaccinium corymbosum 'Southmoon',SHRUBS,75.svg,textured-round-groundcover,Textured round groundcover,#8E8BC6
Blueberry 'Spartan',Vaccinium corymbosum 'Spartan',SHRUBS,17.svg,smooth-spreading-mass,Smooth spreading mass,#7584C7
Blueberry 'Sunshine Blue',Vaccinium corymbosum 'Sunshine Blue',SHRUBS,77.svg,lobed-foliage-accent,Lobed foliage accent,#7E8BC9
Bottlebrush 'Little John',Callistemon citrinus 'Little John',SHRUBS,99.svg,angular-rosette,Angular rosette,#D0694F
Boxleaf Euonymus,Euonymus japonicus 'Microphyllus',SHRUBS,20.svg,round-shrub-mass,Round shrub mass,#80A66D
Boxwood 'Green Mountain' Cone Topiary,Buxus x 'Green Mountain',SHRUBS,87.svg,dense-wavy-shrub,Dense wavy shrub,#6A9064
Boxwood 'Green Mountain' Spiral Topiary,Buxus x 'Green Mountain',SHRUBS,21.svg,irregular-shrub-mass,Irregular shrub mass,#8EA781
"Boysenberry Assorted 4"" Sleeve",Dave Wilson Nursery&#174;,SHRUBS,77.svg,lobed-foliage-accent,Lobed foliage accent,#779C77
Breath Of Heaven,Coleonema pulchellum,SHRUBS,95.svg,petal-ring-flower,Petal ring flower,#698B6A
Bush Anemone 'Elizabeth',Carpenteria californica 'Elizabeth',SHRUBS,84.svg,round-flower-cluster,Round flower cluster,#C98DB5
Bush Morning Glory,Convolvulus cneorum,SHRUBS,93.svg,small-round-shrub,Small round shrub,#75A978
Butterfly Bush Buzz&#8482; Lavender,Buddleja davidii 'Buzz Lavender',SHRUBS,83.svg,needle-leaf-clump,Needle leaf clump,#828ABF
Butterfly Bush Buzz&#8482; Magenta,Buddleja davidii 'Buzz Magenta',SHRUBS,85.svg,tangled-vine-mass,Tangled vine mass,#739175
Butterfly Bush Buzz&#8482; Midnight,Buddleja davidii 'Buzz Midnight',SHRUBS,78.svg,airy-vine-cluster,Airy vine cluster,#709974
Butterfly Bush Buzz&#8482; Sky Blue,Buddleja davidii 'Buzz Sky Blue',SHRUBS,26.svg,arching-grass-swirl,Arching grass swirl,#A8AECD
Butterfly Bush Buzz&#8482; Velvet,Buddleja davidii 'Buzz Vevlet',SHRUBS,86.svg,branching-vine-shrub,Branching vine/shrub,#87A188
Butterfly Bush,Buddleja 'Miss Molly',SHRUBS,36.svg,vine-branching,Vine branching,#6F965E
Butterfly Bush,Buddleja 'Miss Ruby',SHRUBS,85.svg,tangled-vine-mass,Tangled vine mass,#709E70
Butterfly Candy&#174; Li,Buddleja 'Li'l Coconut',SHRUBS,26.svg,arching-grass-swirl,Arching grass swirl,#708367
Butterfly Candy&#174; Li,Buddleja 'Li'l Grape',SHRUBS,86.svg,branching-vine-shrub,Branching vine/shrub,#C88EB9
Butterfly Candy&#174; Li,Buddleja 'Li'l Lavender',SHRUBS,83.svg,needle-leaf-clump,Needle leaf clump,#A4AACC
Butterfly Candy&#174; Li,Buddleja 'Li'l Lavender',SHRUBS,83.svg,needle-leaf-clump,Needle leaf clump,#A4AACC
Butterfly Candy&#174; Li,Buddleja 'Li'l Lavender',SHRUBS,83.svg,needle-leaf-clump,Needle leaf clump,#A4AACC
Japanese Boxwood 'Green Beauty',Buxus microphylla japonica 'Green Beauty',SHRUBS,5.svg,round-dense-canopy,Round dense canopy,#7DB073
Japanese Boxwood 'Winter Gem',Buxus microphylla japonica 'Winter Gem',SHRUBS,24.svg,dense-textured-groundcover,Dense textured groundcover,#6B815F
Camellia j. 'Bob Hope' | Matsuda's,Camellia japonica 'Bob Hope',SHRUBS,97.svg,round-leaf-vine-canopy,Round leaf vine canopy,#D293CC
Camellia j. 'Chandleri Elegans' | Matsuda's,Camellia japonica 'Chandleri Elegans',SHRUBS,93.svg,small-round-shrub,Small round shrub,#C28AA7
Camellia j. 'Debutante',Camellia japonica 'Debutante',SHRUBS,38.svg,vine-leaf-trail,Vine leaf trail,#D090C4
Camellia j. 'Shiro Chan' | Matsuda's,Camellia japonica 'Shiro Chan',SHRUBS,43.svg,fern-branching,Fern/branching foliage,#C473BE
Camellia j. 'Kramer's Supreme',Camellia japonica 'Kramer's Supreme',SHRUBS,56.svg,large-smooth-canopy,Large smooth canopy,#C794B6
Camellia j. 'Kumasaka',Camellia japonica 'Kumasaka',SHRUBS,86.svg,branching-vine-shrub,Branching vine/shrub,#CB95B3
Camellia j. 'Mrs. Charles Cobb' | Matsuda's,Camellia japonica 'Mrs. Charles Cobb',SHRUBS,97.svg,round-leaf-vine-canopy,Round leaf vine canopy,#D2ACC3
Camellia j. 'Nuccio's Bella Rossa' | Monrovia,Camellia japonica 'Nuccios Bella Rossa',SHRUBS,93.svg,small-round-shrub,Small round shrub,#CF96BD
Camellia j. 'Nuccio's Pearl' | Monrovia,Camellia japonica 'Nuccio's Pearl',SHRUBS,4.svg,jagged-textured-canopy,Jagged textured canopy,#5D9B52
Camellia s. 'Bonanza' | Monrovia,Camellia sasanqua 'Bonanza',SHRUBS,7.svg,irregular-shrub-canopy,Irregular shrub canopy,#D3A2C0
Camellia s.,Camellia sasanqua 'Yuletide',SHRUBS,78.svg,airy-vine-cluster,Airy vine cluster,#BE7FA3
Camellia s. 'Setsugekka' | Monrovia,Camellia sasanqua 'Setsugekka',SHRUBS,86.svg,branching-vine-shrub,Branching vine/shrub,#B785B1
Camellia s. 'Showa-No-Sakae' | Monrovia,Camellia sasanqua 'Showa-No-Sakae',SHRUBS,107.svg,fringed-round-shrub,Fringed round shrub,#CC94BD
Camellia s. 'Kanjiro' | Monrovia,Camellia sasanqua 'Kanjiro',SHRUBS,67.svg,plain-round-shrub,Plain round shrub,#C68AB6
Pink-A-Boo?? Camellia | Monrovia,Camellia sasanqua 'Pink-A-Boo',SHRUBS,98.svg,trailing-leaf-mass,Trailing leaf mass,#D476A3
Camellia s. 'Yuletide' | Monrovia,Camellia sasanqua 'Yuletide' [M],SHRUBS,82.svg,small-flower-cluster,Small flower cluster,#D293C5
Camellia 'Shishi Gashira' | Matsuda's,Camellia hiemalis 'Shishi Gashira',SHRUBS,78.svg,airy-vine-cluster,Airy vine cluster,#D090C2
Camellia 'Shishi Gashira' | Monrovia,Camellia hiemalis 'Shishi Gashira',SHRUBS,82.svg,small-flower-cluster,Small flower cluster,#D397C4
Camellia j. 'Swan Lake' | Monrovia,Camellia japonica 'Swan Lake',SHRUBS,38.svg,vine-leaf-trail,Vine leaf trail,#D69EBD
Camellia j. 'Tom Knudsen',Camellia japonica 'Tom Knudsen',SHRUBS,78.svg,airy-vine-cluster,Airy vine cluster,#CC8FAB
Camellia s. 'White Doves',Camellia sasanqua 'White Doves',SHRUBS,98.svg,trailing-leaf-mass,Trailing leaf mass,#D0D4C9
Camellia s. 'Kanjiro',Camellia sasanqua 'Kanjiro',SHRUBS,7.svg,irregular-shrub-canopy,Irregular shrub canopy,#CF9BC9
Camellia s. 'Yuletide',Camellia sasanqua 'Yuletide',SHRUBS,43.svg,fern-branching,Fern/branching foliage,#CA82AA
Canby Red Raspberry | Monrovia,Rubus idaeus 'Canby Red',SHRUBS,21.svg,irregular-shrub-mass,Irregular shrub mass,#D67287
Blue Cape Plumbago,Plumbago auriculata 'Imperial Blue',SHRUBS,82.svg,small-flower-cluster,Small flower cluster,#8B9DD0
Cape Rush,Chondropetalum tectorum,SHRUBS,108.svg,sharp-radial-grass,Sharp radial grass,#6C9763
Carolina Cherry Laurel Multi-Trunk,Prunus caroliniana,SHRUBS,109.svg,simple-dot-canopy,Simple dot canopy,#53A055
Carolina Laurel Bright 'N Tight&#8482; | Monrovia,Prunus caroliniana 'Bright 'n Tight',SHRUBS,73.svg,cloud-shrub-mound,Cloud shrub mound,#7EA980
Chef's Choice&#174; Rosemary,Rosmarinus officinalis 'Chef's Choice',SHRUBS,84.svg,round-flower-cluster,Round flower cluster,#CB74AB
Dwarf Carolina Cherry Laurel Multi-Trunk,Prunus caroliniana 'Compacta',SHRUBS,68.svg,serrated-round-shrub,Serrated round shrub,#5F9460
Coast Rosemary 'Blue Gem',Westringia fruticosa 'Blue Gem',SHRUBS,31.svg,small-round-leaf-cluster,Small round leaf cluster,#D26DA4
Coast Rosemary 'Wynyabbie Gem',Westringia 'Wynyabbie Gem',SHRUBS,9.svg,smooth-shrub-mass,Smooth shrub mass,#E291CA
Breath Of Heaven 'Sunset Gold',Coleonema pulchellum 'Sunset Gold',SHRUBS,91.svg,loose-groundcover-mass,Loose groundcover mass,#E3E448
Common Snowball,Viburnum opulus 'Roseum',SHRUBS,84.svg,round-flower-cluster,Round flower cluster,#DB83A7
Barberry 'Concorde',Berberis thunbergii 'Concorde',SHRUBS,29.svg,flowering-shrub-mass,Flowering shrub mass,#86A37B
Coprosma 'Pacific Sunrise',Coprosma 'Pacific Sunrise',SHRUBS,102.svg,flowering-branch-cluster,Flowering branch cluster,#879A7E
Coprosma 'Pacific Sunset',Coprosma 'Pacific Sunset',SHRUBS,76.svg,dotted-flower-rosette,Dotted flower rosette,#769871
Coprosma 'Pina Colada',Coprosma 'Pina Colada',SHRUBS,35.svg,small-flowering-mound,Small flowering mound,#76946B
Cordyline,Cordyline banksii 'Charlie Boy' PP20139,SHRUBS,103.svg,radial-spike-canopy,Radial spike canopy,#84A474
Cordyline 'Cherry Sensation',Cordyline australis 'Cherry Sensation',SHRUBS,44.svg,succulent-leaf-cluster,Succulent leaf cluster,#729C5C
Cordyline 'Electric Flash',Cordyline banksii 'Electric Flash',SHRUBS,69.svg,fan-grass-rosette,Fan grass rosette,#73956A
Cordyline 'Electric Pink',Cordyline banksii 'Electric Pink',SHRUBS,94.svg,angular-conifer-canopy,Angular conifer canopy,#E291BB
Cordyline 'Electric Star',Cordyline banksii 'Electric Star',SHRUBS,45.svg,radial-flower-rosette,Radial flower rosette,#72A163
Cordyline 'Red Star',Cordyline australis 'Red Star',SHRUBS,32.svg,spiky-succulent-rosette,Spiky succulent rosette,#E07286
Cordyline 'Torbay Dazzler',Cordyline australis 'Torbay Dazzler',SHRUBS,42.svg,wispy-upright-grass,Wispy upright grass,#6D9D67
Cotoneaster 'Lowfast',Cotoneaster dammeri 'Lowfast',SHRUBS,98.svg,trailing-leaf-mass,Trailing leaf mass,#809376
Creeping Lilyturf,Liriope spicata 'Silver Dragon',SHRUBS,8.svg,flowing-groundcover,Flowing groundcover,#88A0A1
Daphne 'Perfume Princess',Daphne 'Perfume Princess',SHRUBS,54.svg,soft-round-shrub,Soft round shrub,#5D8E61
Daphne 'Rebecca',Daphne odora 'Rebecca',SHRUBS,58.svg,simple-flower,Simple flower,#609060
Daylily 'Baja',,SHRUBS,99.svg,angular-rosette,Angular rosette,#668C63
Daylily 'Cranberry Baby',Hemerocallis 'Cranberry Baby',SHRUBS,50.svg,bold-spiky-rosette,Bold spiky rosette,#88A781
Daylily 'Judith',,SHRUBS,103.svg,radial-spike-canopy,Radial spike canopy,#83A380
Daylily 'Missouri Beauty',Hemerocallis 'Missouri Beauty',SHRUBS,39.svg,leaf-star-rosette,Leaf star rosette,#59915C
Daylily 'Pandora's Box',Hemerocallis 'Pandora's Box',SHRUBS,71.svg,fern-palmate,Fern palmate,#71916E
Daylily 'Penny's Worth',Hemerocallis 'Penny's Worth',SHRUBS,64.svg,fine-radial-perennial,Fine radial perennial,#72A25D
Daylily 'Scarlet Orbit',Hemerocallis 'Scarlet Orbit',SHRUBS,15.svg,geometric-rosette,Geometric rosette,#63965A
Daylily 'South Seas',Hemerocallis 'South Sea's',SHRUBS,34.svg,pointed-succulent-rosette,Pointed succulent rosette,#6E9A65
Daylily 'Strutter's Ball',Hemerocallis 'Strutter's Ball',SHRUBS,103.svg,radial-spike-canopy,Radial spike canopy,#6DA55F
Daylily 'Sun's Face',Hemerocallis 'Sun's Face',SHRUBS,50.svg,bold-spiky-rosette,Bold spiky rosette,#68965E
Daylily 'Stella de Oro',Hemerocallis 'Stella de Oro',SHRUBS,50.svg,bold-spiky-rosette,Bold spiky rosette,#81AC7B
Deer Grass,Muhlenbergia rigens,SHRUBS,25.svg,fine-grass-burst,Fine grass burst,#99B76B
Design-A-Line&#8482; Cordyline Burgundy,"Cordyline pumilio x banksia 'ROMA06' PP24,764",SHRUBS,27.svg,succulent-star-rosette,Succulent star rosette,#6BA86B
Dinnerplate Hibiscus,Hibiscus moscheutos,SHRUBS,107.svg,fringed-round-shrub,Fringed round shrub,#60885D
Purple Hopseed Bush,Dodonaea viscosa 'Purpurea',SHRUBS,98.svg,trailing-leaf-mass,Trailing leaf mass,#687F62
Double Play Big Bang&#174; Spirea,Spiraea japonica 'Double Play Big Bang',SHRUBS,7.svg,irregular-shrub-canopy,Irregular shrub canopy,#6B8C5F
Double Play Candy Corn&#174; Spirea,Spiraea Double Play 'Candy Corn',SHRUBS,73.svg,cloud-shrub-mound,Cloud shrub mound,#7FB276
Double Play Doozie&#174; Spirea,Spiraea j. 'Double Play Doozie',SHRUBS,93.svg,small-round-shrub,Small round shrub,#809E76
Double Play Gold&#174; Spirea,Spiraea japonica 'Double Play Gold',SHRUBS,51.svg,dense-ring-shrub,Dense ring shrub,#D8CE45
Double Take Orange Storm&#8482; Flowering Quince,Chaenomeles 'Double Take' Series,SHRUBS,23.svg,curved-spreading-canopy,Curved spreading canopy,#ED8735
Double Take Pink Storm&#8482; Flowering Quince,Chaenomeles 'Double Take' Series,SHRUBS,54.svg,soft-round-shrub,Soft round shrub,#D07FA4
Double Take Scarlet Storm&#8482; Flowering Quince,Chaenomeles 'Double Take' Series,SHRUBS,111.svg,rocky-broken-shrub,Rocky broken shrub,#649155
Dwarf Bush Olive,Olea europaea Dwarf,SHRUBS,66.svg,speckled-groundcover-mat,Speckled groundcover mat,#819579
Dwarf English Boxwood,Buxus sempervirens 'Suffruticosa',SHRUBS,107.svg,fringed-round-shrub,Fringed round shrub,#719372
Dwarf Mugo Pine,Pinus mugo var. pumilio,SHRUBS,47.svg,conifer-branching,Conifer branching,#659763
Dwarf Mugo Pine | Monrovia,Pinus mugo var. pumilio [M],SHRUBS,52.svg,spiky-round-rosette,Spiky round rosette,#618464
Dwarf Myrtle,Myrtus communis 'Compacta',SHRUBS,95.svg,petal-ring-flower,Petal ring flower,#769975
"Pomegranate, Dwarf",Punica granatum 'Nana',SHRUBS,84.svg,round-flower-cluster,Round flower cluster,#C08BA5
Dwarf Red Fountain Grass,Pennisetum setaceum 'Eaton Canyon',SHRUBS,72.svg,simple-leaf-rosette,Simple leaf rosette,#DB5370
Dwarf Tree Fern 'Silver Lady',Blechnum gibbum 'Silver Lady',SHRUBS,71.svg,fern-palmate,Fern palmate,#76A1A5
Dwarf Variegated Gardenia,Gardenia jasminoides 'Radicans Variegata',SHRUBS,73.svg,cloud-shrub-mound,Cloud shrub mound,#CEA1BA
El Nino&#8482; Desert Orchid,Chitalpa x 'El Nino',SHRUBS,111.svg,rocky-broken-shrub,Rocky broken shrub,#638365
Emerald Colonnade&#174; Holly,Ilex crenata 'Sky Pencil',SHRUBS,56.svg,large-smooth-canopy,Large smooth canopy,#86A97E
Encore&#174; Azalea Autumn Moonlight&#174;,,SHRUBS,9.svg,smooth-shrub-mass,Smooth shrub mass,#BE84A5
Encore&#174; Azalea Autumn Sunburst&#174;,,SHRUBS,30.svg,loose-vine-groundcover,Loose vine/groundcover,#C68ABA
Endless Summer&#174; The Original Bigleaf Hydrangea,Hydrangea macrophylla 'Bailmer',SHRUBS,87.svg,dense-wavy-shrub,Dense wavy shrub,#76906F
English Boxwood Cone Topiary,Buxus sempervirens Cone,SHRUBS,68.svg,serrated-round-shrub,Serrated round shrub,#729776
English Boxwood Pom Pom Topiary,Buxus sempervirens Pom Pom,SHRUBS,10.svg,ringed-tree-canopy,Ringed tree canopy,#8CA87F
English Boxwood Spiral Topiary,Buxus sempervirens Spiral,SHRUBS,109.svg,simple-dot-canopy,Simple dot canopy,#658C59
Escallonia 'Compacta',,SHRUBS,60.svg,smooth-round-mound,Smooth round mound,#849A79
Escallonia 'Fradesii',,SHRUBS,57.svg,open-shrub-mass,Open shrub mass,#649066
Euonymus 'Emerald Gaiety',Euonymus fortunei 'Emerald Gaiety',SHRUBS,9.svg,smooth-shrub-mass,Smooth shrub mass,#559654
Euonymus 'Emerald 'n' Gold',Euonymus fortunei 'Emerald 'n' Gold',SHRUBS,58.svg,simple-flower,Simple flower,#D9A42F
Euonymus 'Gracilis',Euonymus fortunei 'Gracilis',SHRUBS,9.svg,smooth-shrub-mass,Smooth shrub mass,#769475
Euonymus 'Silver Queen',Euonymus japonicus 'Silver Queen',SHRUBS,59.svg,lobed-flower,Lobed flower,#A5B3B3
Euonymus 'Sunny Delight' | Monrovia,Euonymus japonicus 'Sunny Delight',SHRUBS,63.svg,round-petal-flower,Round petal flower,#6A955F
Euonymus 'Green Spire',Euonymus japonicus 'Green Spire',SHRUBS,68.svg,serrated-round-shrub,Serrated round shrub,#6C9664
Fern Pine 'Glacier Blue',Podocarpus elongatus 'Glacier Blue',SHRUBS,89.svg,dense-needle-conifer,Dense needle/conifer,#8178BA
Icee Blue&#174; Fern Pine | Monrovia,Podocarpus elongatus 'Icee Blue',SHRUBS,89.svg,dense-needle-conifer,Dense needle/conifer,#7A85BE
Festival&#8482; Burgundy Cordyline,Cordyline 'Festival Burgundy',SHRUBS,94.svg,angular-conifer-canopy,Angular conifer canopy,#79A163
Flax Lily,Dianella revoluta 'Coolvista',SHRUBS,71.svg,fern-palmate,Fern palmate,#9FA870
Flowering Quince 'Kurokoji',,SHRUBS,58.svg,simple-flower,Simple flower,#5B855E
Fountain Grass 'Hameln',Pennisetum alopecuroides 'Hameln',SHRUBS,18.svg,spiky-grass-burst,Spiky grass burst,#A09F73
White Fountain Grass 'Karley Rose',Pennisetum orientale 'Karley Rose',SHRUBS,25.svg,fine-grass-burst,Fine grass burst,#E59CC0
